label,sharpeann,nav,alphacum,maxdd,calmar,cvar10,evar10,turnover,inmarket,avgpos
ElasticNetv92,0.588,1.446,-13.3,-11.4,0.321,3.271,12.805,0.415,56.1,0.561
MLPv92,0.557,1.402,-16.5,-17.13,0.196,3.33,13.097,0.398,59.3,0.593
LogRegv92,0.53,1.37,-18.9,-17.13,0.182,3.271,13.252,0.398,56.9,0.569
EWLogitv92,0.525,1.339,-21.4,-17.13,0.169,3.158,12.978,0.398,56.1,0.561
Ensemblev92,0.522,1.363,-19.4,-17.13,0.179,3.271,13.31,0.415,55.3,0.553
ElasticNetv92SoftRiskLO,0.37,1.126,-40.0,-10.08,0.116,1.758,8.785,0.278,67.5,0.343
Ensemblev92SoftRiskLO,0.321,1.155,-36.9,-17.18,0.082,2.63,12.261,0.365,69.9,0.538
MLPv92SoftRiskLO,0.314,1.156,-36.6,-17.94,0.08,2.774,12.836,0.357,70.7,0.525
LogRegv92SoftRiskLO,0.311,1.149,-37.4,-17.14,0.079,2.658,12.37,0.373,72.4,0.523
ElasticNetv92SoftRiskLS,0.045,1.01,-50.2,-21.16,0.005,2.246,14.414,0.496,67.5,0.202
LogRegv92SoftRiskLS,-0.002,0.976,-52.5,-32.75,-0.007,3.39,18.811,0.647,72.4,0.353
Ensemblev92SoftRiskLS,-0.083,0.916,-58.6,-37.26,-0.023,3.639,20.501,0.667,69.9,0.338
MLPv92SoftRiskLS,-0.087,0.939,-57.2,-29.8,-0.02,2.825,16.994,0.489,70.7,0.241
