feature,coef,abs_coef
on_minus_id,-1.6204391011819699,1.6204391011819699
mom_d10,-0.4133084177718278,0.4133084177718278
overnight_avg,0.31093868242910083,0.31093868242910083
id_ret_d10,-0.24218882757175839,0.24218882757175839
month_9,-0.22252589124651134,0.22252589124651134
vix_post_spike,-0.215105323959466,0.215105323959466
vol12m,-0.16080988134701693,0.16080988134701693
tbl_chg,-0.1596480523127978,0.1596480523127978
month_12,0.15665200490408204,0.15665200490408204
tsmom,0.14216807981111532,0.14216807981111532
dvp_lag1,-0.14059815689440272,0.14059815689440272
vol_d10,0.1379859998600968,0.1379859998600968
on_ret_d10,0.13321847010556243,0.13321847010556243
tom_early,-0.11460166385793576,0.11460166385793576
vix_chg3m,0.1104494296603425,0.1104494296603425
month_10,0.1104001502444355,0.1104001502444355
vol6m,0.10873764013721966,0.10873764013721966
lty,0.10627614044790816,0.10627614044790816
mom3m,-0.0795633088558932,0.0795633088558932
mom6m,-0.07868463457849996,0.07868463457849996
up_ratio_d10,-0.07482363764985488,0.07482363764985488
vrp_high,-0.06427380460057844,0.06427380460057844
rate_cutting,-0.06037365835178579,0.06037365835178579
rate_rising,-0.05972680014889142,0.05972680014889142
vix_chg1m,-0.05856928286584497,0.05856928286584497
rev1m,0.057705821631432,0.057705821631432
lty_chg,-0.05732587773452073,0.05732587773452073
tom_last,0.041181138558664704,0.041181138558664704
svar,-0.036253265290328414,0.036253265290328414
month_1,-0.03557834895658273,0.03557834895658273
overnight_vol,-0.03335810878154614,0.03335810878154614
mom24m,0.031999268225120885,0.031999268225120885
dfy,0.026551279008335274,0.026551279008335274
svar_lag1,0.024265127425332912,0.024265127425332912
high_vix,0.016835089940354986,0.016835089940354986
inverted,-0.012538491153727559,0.012538491153727559
vix_zscore12,-0.008586809710284615,0.008586809710284615
tbl,0.002421780238094255,0.002421780238094255
mom12m_skip1,0.0021775841120992446,0.0021775841120992446
mom_x_stress,0.0,0.0
stress_roll3,0.0,0.0
macro_stress,0.0,0.0
vrp_positive,0.0,0.0
