,sharpe_ann,nav,max_dd,cvar_10,evar_10,turnover,avg_position,long_exposure_pct,short_exposure_pct,calmar_like,family,signal,variant,objective_train,avg_position_train,train_shortfall,risk_floor,shrink_mode,base_method
Ensemble_v92_SoftRisk_LS,3.6421147175271864,4.8952229787299055,-0.7136589462141241,0.2674257701767614,1.5002808254200861,0.6485618150832351,0.6657451120134492,67.21311475409836,32.78688524590164,51.0343874598388,V9.4_SoftRisk_LS,Ensemble_v92,LS,2.4306340311944443,0.5822679632408736,0.0,0.25,exp,prob_band
Ensemble_v92_SoftRisk_LO,2.8468972075117627,2.7597552016442934,-0.5482412384551938,0.023607646627836373,1.8060647185014833,0.35937125795273533,0.4733706249097335,67.21311475409836,0.0,51.927819503939624,V9.4_SoftRisk_LO,Ensemble_v92,LO,1.808099498141197,0.4006464754306879,0.0,0.25,exp,prob_band
MLP_v92_SoftRisk_LS,2.9772253520066245,2.8168785053677325,-0.7398586110784033,0.32844926368216143,1.7765254915070736,0.4556160882836673,0.4314132461252782,65.57377049180327,34.42622950819672,40.240463615974946,V9.4_SoftRisk_LS,MLP_v92,LS,1.7685597444739083,0.2929073007722911,0.0,0.25,exp,softsign
MLP_v92_SoftRisk_LO,2.6664761828433634,2.6092419106905993,-1.1873672569121752,0.04493165535801144,1.8633473348442187,0.3478932659449175,0.45876337263645434,65.57377049180327,0.0,22.457046607278915,V9.4_SoftRisk_LO,MLP_v92,LO,1.4865312556599521,0.35452401038140463,0.0,0.25,exp,prob_band
ElasticNet_v92_SoftRisk_LS,3.3880468623654996,2.8425753486484457,-0.7282764796610164,0.17053095996242576,1.7108570137623644,0.4370085093585796,0.4033107536175464,67.21311475409836,32.78688524590164,46.52143735223332,V9.4_SoftRisk_LS,ElasticNet_v92,LS,2.4294207070948226,0.36907802962009845,0.0,0.25,exp,softsign
ElasticNet_v92_SoftRisk_LO,2.71008122709433,1.9214321310871778,-0.17578419779706866,0.00964021093156334,1.9349477895840919,0.25370188048823994,0.27925470342193764,67.21311475409836,0.0,154.17092440942508,V9.4_SoftRisk_LO,ElasticNet_v92,LO,1.7825520675682818,0.24535618129074863,0.0,0.25,exp,softsign
LogReg_v92_SoftRisk_LS,3.3187057616108038,4.380466872876273,-1.1139352777351452,0.3334388182062158,1.6024619840339975,0.5893137663351231,0.6133851971066143,72.1311475409836,27.86885245901639,29.79262644736776,V9.4_SoftRisk_LS,LogReg_v92,LS,2.156067339066775,0.5552371481407694,0.0,0.25,exp,prob_band
LogReg_v92_SoftRisk_LO,2.73993642387938,2.6190277394937693,-0.7744648687884048,0.056597450244457254,1.8447941680267623,0.3543457971203308,0.4693200831136874,72.1311475409836,0.0,35.37844690316057,V9.4_SoftRisk_LO,LogReg_v92,LO,1.6833700111529897,0.3876568679401647,0.0,0.25,exp,prob_band
Transformer_v92_SoftRisk_LS,0.4920022916807593,1.1298577563873555,-3.4311500327743993,1.3233696490023272,2.488494406475968,0.1373988855518053,0.25960976657643603,90.98360655737704,9.01639344262295,1.4339282368335562,V9.4_SoftRisk_LS,Transformer_v92,LS,-3.311512925464975,0.0,0.28,0.25,rational,softsign
Transformer_v92_SoftRisk_LO,0.5633739966190382,1.1416822371141593,-3.4311500327744215,1.2426610895611796,2.4492580017902656,0.11450982720776723,0.24532982322122665,90.98360655737704,0.0,1.6419392659536227,V9.4_SoftRisk_LO,Transformer_v92,LO,-2.5915129254649756,0.0,0.22,0.25,rational,softsign
